Shape: (16, 16, 16)
(np.int64(10), np.int64(2), np.int64(4)): (6.123233995736765e-17+0.5j)
(np.int64(10), np.int64(3), np.int64(3)): (6.539694987724332e-17+0.5340066207070906j)
(np.int64(10), np.int64(4), np.int64(2)): (6.123233995736766e-17+0.5000000000000001j)
(np.int64(10), np.int64(5), np.int64(1)): (4.740886720240118e-17+0.3871227788731338j)
(np.int64(10), np.int64(7), np.int64(15)): (-1.0298011033549458e-16-0.4204482076268576j)
(np.int64(10), np.int64(8), np.int64(14)): (-1.4563586869113408e-16-0.5946035575013606j)
(np.int64(10), np.int64(9), np.int64(13)): (-1.7378207331908804e-16-0.7095191586671434j)
(np.int64(10), np.int64(10), np.int64(12)): (-1.9028243238943477e-16-0.7768869870150186j)
(np.int64(10), np.int64(11), np.int64(11)): (-1.9574690409405697e-16-0.7991973858517559j)
(np.int64(10), np.int64(12), np.int64(10)): (-1.9028243238943477e-16-0.7768869870150187j)
(np.int64(10), np.int64(13), np.int64(9)): (-1.7378207331908804e-16-0.7095191586671434j)
(np.int64(10), np.int64(14), np.int64(8)): (-1.4563586869113408e-16-0.5946035575013606j)
(np.int64(10), np.int64(15), np.int64(7)): (-1.0298011033549458e-16-0.42044820762685764j)
(np.int64(11), np.int64(1), np.int64(4)): (4.147576512643113e-17+0.3386753238183301j)
(np.int64(11), np.int64(2), np.int64(3)): (5.1490055167747255e-17+0.42044820762685725j)
(np.int64(11), np.int64(3), np.int64(2)): (5.1490055167747255e-17+0.4204482076268573j)
(np.int64(11), np.int64(4), np.int64(1)): (4.147576512643113e-17+0.33867532381833004j)
(np.int64(11), np.int64(6), np.int64(15)): (-9.481773440480246e-17-0.3871227788731342j)
(np.int64(11), np.int64(7), np.int64(14)): (-1.3682669542175492e-16-0.5586373782098601j)
(np.int64(11), np.int64(8), np.int64(13)): (-1.6646905819910596e-16-0.6796615085876523j)
(np.int64(11), np.int64(9), np.int64(12)): (-1.859916764508263e-16-0.7593686464551288j)
(np.int64(11), np.int64(10), np.int64(11)): (-1.9574690409405697e-16-0.7991973858517559j)
(np.int64(11), np.int64(11), np.int64(10)): (-1.9574690409405702e-16-0.7991973858517561j)
(np.int64(11), np.int64(12), np.int64(9)): (-1.8599167645082635e-16-0.7593686464551289j)
(np.int64(11), np.int64(13), np.int64(8)): (-1.6646905819910596e-16-0.6796615085876523j)
(np.int64(11), np.int64(14), np.int64(7)): (-1.3682669542175492e-16-0.55863737820986j)
(np.int64(11), np.int64(15), np.int64(6)): (-9.481773440480247e-17-0.3871227788731341j)
(np.int64(12), np.int64(1), np.int64(3)): (3.390320064445129e-17+0.2768406422819708j)
(np.int64(12), np.int64(2), np.int64(2)): (3.9408782088522694e-17+0.32179712645279135j)
(np.int64(12), np.int64(3), np.int64(1)): (3.39032006444513e-17+0.2768406422819708j)
(np.int64(12), np.int64(5), np.int64(15)): (-8.295153025286234e-17-0.33867532381833043j)
(np.int64(12), np.int64(6), np.int64(14)): (-1.2246467991473535e-16-0.5000000000000001j)
(np.int64(12), np.int64(7), np.int64(13)): (-1.52033678117533e-16-0.6207245967710231j)
(np.int64(12), np.int64(8), np.int64(12)): (-1.7319121124709868e-16-0.7071067811865476j)
(np.int64(12), np.int64(9), np.int64(11)): (-1.8599167645082632e-16-0.7593686464551288j)
(np.int64(12), np.int64(10), np.int64(10)): (-1.9028243238943477e-16-0.7768869870150186j)
(np.int64(12), np.int64(11), np.int64(9)): (-1.8599167645082635e-16-0.7593686464551288j)
(np.int64(12), np.int64(12), np.int64(8)): (-1.7319121124709868e-16-0.7071067811865476j)
(np.int64(12), np.int64(13), np.int64(7)): (-1.52033678117533e-16-0.6207245967710232j)
(np.int64(12), np.int64(14), np.int64(6)): (-1.2246467991473535e-16-0.5000000000000001j)
(np.int64(12), np.int64(15), np.int64(5)): (-8.295153025286235e-17-0.3386753238183304j)
(np.int64(13), np.int64(1), np.int64(2)): (2.4941239290498224e-17+0.20366067430922358j)
(np.int64(13), np.int64(2), np.int64(1)): (2.494123929049822e-17+0.20366067430922355j)
(np.int64(13), np.int64(4), np.int64(15)): (-6.780640128890267e-17-0.2768406422819711j)
(np.int64(13), np.int64(5), np.int64(14)): (-1.0298011033549452e-16-0.42044820762685736j)
(np.int64(13), np.int64(6), np.int64(13)): (-1.3079389975448663e-16-0.5340066207070906j)
(np.int64(13), np.int64(7), np.int64(12)): (-1.52033678117533e-16-0.6207245967710232j)
(np.int64(13), np.int64(8), np.int64(11)): (-1.6646905819910593e-16-0.6796615085876523j)
(np.int64(13), np.int64(9), np.int64(10)): (-1.7378207331908807e-16-0.7095191586671433j)
(np.int64(13), np.int64(10), np.int64(9)): (-1.7378207331908804e-16-0.7095191586671434j)
(np.int64(13), np.int64(11), np.int64(8)): (-1.6646905819910593e-16-0.6796615085876523j)
(np.int64(13), np.int64(12), np.int64(7)): (-1.52033678117533e-16-0.6207245967710231j)
(np.int64(13), np.int64(13), np.int64(6)): (-1.3079389975448663e-16-0.5340066207070905j)
(np.int64(13), np.int64(14), np.int64(5)): (-1.0298011033549452e-16-0.42044820762685736j)
(np.int64(13), np.int64(15), np.int64(4)): (-6.780640128890267e-17-0.276840642281971j)
(np.int64(14), np.int64(1), np.int64(1)): (1.477972684399641e-17+0.12068562833207609j)
(np.int64(14), np.int64(3), np.int64(15)): (-4.988247858099649e-17-0.20366067430922374j)
(np.int64(14), np.int64(4), np.int64(14)): (-7.881756417704541e-17-0.32179712645279146j)
(np.int64(14), np.int64(5), np.int64(13)): (-1.0298011033549452e-16-0.4204482076268573j)
(np.int64(14), np.int64(6), np.int64(12)): (-1.2246467991473537e-16-0.5000000000000001j)
(np.int64(14), np.int64(7), np.int64(11)): (-1.368266954217549e-16-0.55863737820986j)
(np.int64(14), np.int64(8), np.int64(10)): (-1.4563586869113408e-16-0.5946035575013606j)
(np.int64(14), np.int64(9), np.int64(9)): (-1.4860540889131137e-16-0.6067276254458683j)
(np.int64(14), np.int64(10), np.int64(8)): (-1.4563586869113408e-16-0.5946035575013606j)
(np.int64(14), np.int64(11), np.int64(7)): (-1.3682669542175492e-16-0.55863737820986j)
(np.int64(14), np.int64(12), np.int64(6)): (-1.2246467991473535e-16-0.5j)
(np.int64(14), np.int64(13), np.int64(5)): (-1.0298011033549452e-16-0.42044820762685736j)
(np.int64(14), np.int64(14), np.int64(4)): (-7.881756417704541e-17-0.32179712645279146j)
(np.int64(14), np.int64(15), np.int64(3)): (-4.988247858099649e-17-0.20366067430922377j)
(np.int64(15), np.int64(2), np.int64(15)): (-2.955945368799287e-17-0.12068562833207631j)
(np.int64(15), np.int64(3), np.int64(14)): (-4.9882478580996504e-17-0.20366067430922377j)
(np.int64(15), np.int64(4), np.int64(13)): (-6.780640128890266e-17-0.2768406422819711j)
(np.int64(15), np.int64(5), np.int64(12)): (-8.295153025286234e-17-0.33867532381833043j)
(np.int64(15), np.int64(6), np.int64(11)): (-9.481773440480248e-17-0.3871227788731341j)
(np.int64(15), np.int64(7), np.int64(10)): (-1.029801103354946e-16-0.4204482076268576j)
(np.int64(15), np.int64(8), np.int64(9)): (-1.0713852914354966e-16-0.43742624084815174j)
(np.int64(15), np.int64(9), np.int64(8)): (-1.0713852914354966e-16-0.43742624084815174j)
(np.int64(15), np.int64(10), np.int64(7)): (-1.0298011033549458e-16-0.4204482076268576j)
(np.int64(15), np.int64(11), np.int64(6)): (-9.481773440480247e-17-0.3871227788731341j)
(np.int64(15), np.int64(12), np.int64(5)): (-8.295153025286235e-17-0.33867532381833043j)
(np.int64(15), np.int64(13), np.int64(4)): (-6.780640128890266e-17-0.276840642281971j)
(np.int64(15), np.int64(14), np.int64(3)): (-4.98824785809965e-17-0.20366067430922377j)
(np.int64(15), np.int64(15), np.int64(2)): (-2.9559453687992864e-17-0.12068562833207629j)
