Shape: (10, 10, 10)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(8)): (7.253415685493956e-18+0.059228633844011724j)
(np.int64(1), np.int64(2), np.int64(7)): (1.173627311366084e-17+0.09583394266683332j)
(np.int64(1), np.int64(3), np.int64(6)): (1.4928770012640244e-17+0.12190265816261668j)
(np.int64(1), np.int64(4), np.int64(5)): (1.6597596609053868e-17+0.13552966145512124j)
(np.int64(1), np.int64(5), np.int64(4)): (1.6597596609053868e-17+0.13552966145512124j)
(np.int64(1), np.int64(6), np.int64(3)): (1.4928770012640247e-17+0.12190265816261667j)
(np.int64(1), np.int64(7), np.int64(2)): (1.1736273113660838e-17+0.09583394266683332j)
(np.int64(1), np.int64(8), np.int64(1)): (7.253415685493955e-18+0.059228633844011724j)
(np.int64(2), np.int64(1), np.int64(7)): (1.173627311366084e-17+0.09583394266683332j)
(np.int64(2), np.int64(2), np.int64(6)): (1.7549821696592112e-17+0.14330516936647353j)
(np.int64(2), np.int64(3), np.int64(5)): (2.1112469021424603e-17+0.1723963924629038j)
(np.int64(2), np.int64(4), np.int64(4)): (2.2323718043533497e-17+0.18228699131109588j)
(np.int64(2), np.int64(5), np.int64(3)): (2.1112469021424603e-17+0.1723963924629038j)
(np.int64(2), np.int64(6), np.int64(2)): (1.7549821696592115e-17+0.14330516936647356j)
(np.int64(2), np.int64(7), np.int64(1)): (1.1736273113660838e-17+0.0958339426668333j)
(np.int64(2), np.int64(9), np.int64(9)): (-1.4506831370987912e-17-0.05922863384401174j)
(np.int64(3), np.int64(1), np.int64(6)): (1.4928770012640247e-17+0.12190265816261668j)
(np.int64(3), np.int64(2), np.int64(5)): (2.11124690214246e-17+0.17239639246290378j)
(np.int64(3), np.int64(3), np.int64(4)): (2.415525729068212e-17+0.1972426442260736j)
(np.int64(3), np.int64(4), np.int64(3)): (2.415525729068212e-17+0.19724264422607363j)
(np.int64(3), np.int64(5), np.int64(2)): (2.11124690214246e-17+0.17239639246290378j)
(np.int64(3), np.int64(6), np.int64(1)): (1.4928770012640247e-17+0.12190265816261667j)
(np.int64(3), np.int64(8), np.int64(9)): (-2.3472546227321688e-17-0.09583394266683334j)
(np.int64(3), np.int64(9), np.int64(8)): (-2.3472546227321685e-17-0.09583394266683334j)
(np.int64(4), np.int64(1), np.int64(5)): (1.6597596609053868e-17+0.13552966145512124j)
(np.int64(4), np.int64(2), np.int64(4)): (2.2323718043533497e-17+0.18228699131109588j)
(np.int64(4), np.int64(3), np.int64(3)): (2.4155257290682123e-17+0.19724264422607357j)
(np.int64(4), np.int64(4), np.int64(2)): (2.23237180435335e-17+0.18228699131109594j)
(np.int64(4), np.int64(5), np.int64(1)): (1.6597596609053868e-17+0.13552966145512124j)
(np.int64(4), np.int64(7), np.int64(9)): (-2.985754002528051e-17-0.1219026581626167j)
(np.int64(4), np.int64(8), np.int64(8)): (-3.5099643393184225e-17-0.14330516936647353j)
(np.int64(4), np.int64(9), np.int64(7)): (-2.98575400252805e-17-0.12190265816261671j)
(np.int64(5), np.int64(1), np.int64(4)): (1.6597596609053868e-17+0.13552966145512124j)
(np.int64(5), np.int64(2), np.int64(3)): (2.1112469021424603e-17+0.1723963924629038j)
(np.int64(5), np.int64(3), np.int64(2)): (2.11124690214246e-17+0.17239639246290378j)
(np.int64(5), np.int64(4), np.int64(1)): (1.6597596609053868e-17+0.13552966145512124j)
(np.int64(5), np.int64(6), np.int64(9)): (-3.319519321810774e-17-0.13552966145512127j)
(np.int64(5), np.int64(7), np.int64(8)): (-4.2224938042849206e-17-0.17239639246290384j)
(np.int64(5), np.int64(8), np.int64(7)): (-4.2224938042849206e-17-0.1723963924629038j)
(np.int64(5), np.int64(9), np.int64(6)): (-3.319519321810774e-17-0.1355296614551213j)
(np.int64(6), np.int64(1), np.int64(3)): (1.4928770012640247e-17+0.12190265816261667j)
(np.int64(6), np.int64(2), np.int64(2)): (1.7549821696592115e-17+0.14330516936647353j)
(np.int64(6), np.int64(3), np.int64(1)): (1.4928770012640247e-17+0.12190265816261667j)
(np.int64(6), np.int64(5), np.int64(9)): (-3.319519321810774e-17-0.13552966145512127j)
